player,game_id,is_home,margin,period,shot_made,shot_type,x,y
Tim Duncan,0,1,-1,1,0,Jump Shot,92,184
Tim Duncan,0,1,0,1,0,Jump Shot,-198,40
Tim Duncan,0,1,0,1,0,Layup,1,53
Tim Duncan,0,1,5,1,0,Jump Shot,-108,206
Tim Duncan,0,1,-17,2,1,Layup,15,50
Tim Duncan,0,1,-21,3,0,Jump Shot,91,190
Tim Duncan,80,0,0,1,0,Jump Shot,-175,143
Tim Duncan,80,0,0,1,1,Jump Shot,-127,203
Tim Duncan,80,0,0,1,1,Jump Shot,-105,225
Tim Duncan,80,0,2,1,1,Layup,10,45
Tim Duncan,80,0,2,1,0,Jump Shot,-27,266
Tim Duncan,80,0,0,1,0,Jump Shot,-108,214
Tim Duncan,80,0,0,1,0,Jump Shot,12,253
Tim Duncan,80,0,-3,2,0,Hook,17,50
Tim Duncan,80,0,-3,2,1,Special Jump Shot,-10,89
Tim Duncan,80,0,-4,2,1,Jump Shot,-139,152
Tim Duncan,80,0,-6,2,0,Jump Shot,-147,72
Tim Duncan,80,0,-9,2,0,Jump Shot,-4,269
Tim Duncan,80,0,-9,3,1,Dunk,1,45
Tim Duncan,80,0,-7,3,1,Jump Shot,187,165
Tim Duncan,80,0,-9,3,1,Layup,12,54
Tim Duncan,80,0,-8,3,0,Special Jump Shot,-179,165
Tim Duncan,80,0,-10,3,0,Jump Shot,77,228
Tim Duncan,80,0,-9,3,1,Tip,-3,45
Tim Duncan,80,0,-7,4,1,Hook,28,72
Tim Duncan,80,0,-7,4,1,Tip,1,56
Tim Duncan,80,0,-4,4,1,Hook,37,73
Tim Duncan,80,0,-7,4,0,Jump Shot,6,296
Tim Duncan,81,0,2,1,1,Jump Shot,50,188
Tim Duncan,81,0,-1,1,0,Jump Shot,-10,114
Tim Duncan,81,0,-4,1,0,Jump Shot,-24,220
Tim Duncan,81,0,-6,1,0,Jump Shot,37,78
Tim Duncan,81,0,-5,1,0,Jump Shot,89,215
Tim Duncan,81,0,-1,1,1,Layup,-23,47
Tim Duncan,81,0,1,1,1,Jump Shot,-111,190
Tim Duncan,81,0,-4,2,0,Jump Shot,-127,198
Tim Duncan,81,0,-10,2,1,Jump Shot,-43,89
Tim Duncan,81,0,-10,2,0,Jump Shot,-43,201
Tim Duncan,81,0,-8,2,0,Jump Shot,-150,106
Tim Duncan,81,0,-5,3,1,Jump Shot,88,206
Tim Duncan,81,0,6,4,0,Jump Shot,116,195
Tim Duncan,81,0,10,4,1,Tip,-4,59
Tim Duncan,81,0,11,4,1,Jump Shot,72,100
Tim Duncan,82,1,-2,1,1,Jump Shot,154,94
Tim Duncan,82,1,-3,1,1,Special Jump Shot,-93,54
Tim Duncan,82,1,7,2,1,Jump Shot,-27,80
Tim Duncan,82,1,5,2,1,Layup,9,67
Tim Duncan,82,1,3,2,1,Layup,-27,47
Tim Duncan,82,1,2,2,0,Layup,21,54
Tim Duncan,82,1,0,3,1,Jump Shot,-59,94
Tim Duncan,82,1,0,3,0,Jump Shot,-7,106
Tim Duncan,82,1,-4,3,1,Jump Shot,70,160
Tim Duncan,82,1,-3,4,0,Special Jump Shot,-59,94
Tim Duncan,82,1,1,4,0,Jump Shot,-67,185
Tim Duncan,83,1,-2,1,1,Layup,-8,65
Tim Duncan,83,1,-5,1,1,Dunk,-5,54
Tim Duncan,83,1,-3,1,0,Jump Shot,-13,248
Tim Duncan,83,1,-5,1,0,Jump Shot,-138,81
Tim Duncan,83,1,-7,1,1,Jump Shot,-24,237
Tim Duncan,83,1,-7,3,0,Jump Shot,-24,80
Tim Duncan,83,1,-6,3,0,Layup,18,54
Tim Duncan,83,1,-8,3,0,Jump Shot,102,199
Tim Duncan,83,1,-4,4,0,Jump Shot,-27,251
Tim Duncan,83,1,-2,4,0,Jump Shot,-38,206
Tim Duncan,84,0,14,1,0,Jump Shot,7,119
Tim Duncan,84,0,24,2,1,Special Jump Shot,28,92
Tim Duncan,84,0,24,2,0,Special Jump Shot,-92,59
Tim Duncan,84,0,23,3,0,Jump Shot,81,100
Tim Duncan,85,1,-5,1,0,Jump Shot,-4,242
Tim Duncan,85,1,-11,1,0,Jump Shot,-10,226
Tim Duncan,85,1,-9,1,0,Jump Shot,48,111
Tim Duncan,85,1,-10,1,1,Jump Shot,-73,86
Tim Duncan,85,1,-10,1,0,Jump Shot,-13,162
Tim Duncan,85,1,-15,2,0,Special Jump Shot,-123,73
Tim Duncan,85,1,-10,3,0,Jump Shot,37,108
Tim Duncan,85,1,-8,3,0,Jump Shot,51,80
Tim Duncan,85,1,-7,3,0,Jump Shot,-114,78
Tim Duncan,85,1,-5,3,0,Jump Shot,127,201
Tim Duncan,86,0,0,1,0,Jump Shot,48,152
Tim Duncan,86,0,-2,1,0,Jump Shot,-7,133
Tim Duncan,86,0,-1,1,1,Jump Shot,-114,210
Tim Duncan,86,0,-7,2,1,Hook,-32,97
Tim Duncan,86,0,-3,2,0,Jump Shot,29,91
Tim Duncan,86,0,-5,2,1,Jump Shot,28,69
Tim Duncan,86,0,-7,2,0,Jump Shot,-64,210
Tim Duncan,86,0,-5,2,1,Layup,-11,64
