time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2014-09-10T18:28:00.300Z,52.111,178.2967,121.25,5.3,mb,,41,0.964,0.79,us,usb000sb5e,2014-09-10T19:00:35.547Z,"23km NW of Little Sitkin Island, Alaska",earthquake
2014-09-10T16:31:59.480Z,-24.6524,179.1728,528.24,5.3,mb,,88,5.254,0.86,us,usb000sb48,2014-09-10T17:19:15.617Z,"South of the Fiji Islands",earthquake
2014-09-10T16:01:48.000Z,62.5897,-152.0797,5,4.2,ml,,,,0.78,ak,ak11385482,2014-09-10T16:31:10.413Z,"105km WNW of Talkeetna, Alaska",earthquake
2014-09-10T14:52:49.860Z,12.9885,144.6495,51.75,4.8,mb,,105,0.634,0.72,us,usb000sb3j,2014-09-10T19:04:47.878Z,"30km S of Merizo Village, Guam",earthquake
2014-09-10T14:08:21.290Z,36.5759,69.037,52.39,4,mb,,71,1.351,0.54,us,usb000sb2c,2014-09-10T15:29:02.360Z,"13km SSW of Khanabad, Afghanistan",earthquake
2014-09-10T14:01:01.100Z,-21.4773,169.1454,23.26,5,mb,,64,2.579,0.43,us,usb000sb2b,2014-09-10T15:12:24.204Z,"131km E of Tadine, New Caledonia",earthquake
2014-09-10T13:38:46.100Z,18.9696,-65.4425,62,3.1,Md,15,237.6,0.67463478,0.44,pr,pr14253005,2014-09-10T14:15:36.758Z,"72km NNE of Luquillo, Puerto Rico",earthquake
2014-09-10T12:49:12.960Z,-28.5064,-67.8487,109.79,4.6,mb,,91,2.015,0.94,us,usb000sb23,2014-09-10T13:15:12.261Z,"44km NE of Vinchina, Argentina",earthquake
2014-09-10T12:39:59.180Z,-11.7411,165.2081,10,4.6,mb,,98,4.163,0.42,us,usb000sb22,2014-09-10T13:36:52.955Z,"132km SSW of Lata, Solomon Islands",earthquake
2014-09-10T11:54:06.800Z,-9.7925,118.0892,64.4,4.7,mb,,86,4.103,0.55,us,usb000sb1r,2014-09-10T12:24:34.027Z,"103km WSW of Dinjo, Indonesia",earthquake
2014-09-10T11:49:42.580Z,-0.3299,125.3074,35,4.6,mb,,48,2.332,1.2,us,usb000sb1q,2014-09-10T12:23:23.497Z,"154km SE of Modayag, Indonesia",earthquake
2014-09-10T10:43:30.000Z,61.1437,-151.1131,63.5,3.2,ml,,,,0.73,ak,ak11385206,2014-09-10T18:46:00.433Z,"51km N of Nikiski, Alaska",earthquake
2014-09-10T09:32:59.370Z,-0.2622,125.2051,30,5.6,mb,,34,2.393,1.25,us,usb000sb05,2014-09-10T17:35:30.130Z,"141km SE of Lolayan, Indonesia",earthquake
2014-09-10T09:06:29.010Z,-37.8696,-75.2426,13.34,4.7,mb,,134,2.041,0.58,us,usb000sazt,2014-09-10T17:09:02.936Z,"143km WSW of Lebu, Chile",earthquake
2014-09-10T07:30:52.450Z,-0.2535,125.2603,60.67,5,mb,,47,2.339,0.89,us,usb000sazf,2014-09-10T15:36:32.229Z,"144km SE of Modayag, Indonesia",earthquake
2014-09-10T05:59:47.950Z,-0.2369,125.3006,30,5,mb,,47,2.296,1.12,us,usb000saz2,2014-09-10T14:02:46.086Z,"146km SE of Modayag, Indonesia",earthquake
2014-09-10T05:28:34.680Z,64.6852,-17.0567,10,4.9,mb,,88,6.115,1.06,us,usb000sayy,2014-09-10T13:31:04.516Z,"101km WNW of Hofn, Iceland",earthquake
2014-09-10T05:19:25.230Z,-0.1634,125.1232,47.95,5.6,mb,,58,2.428,1.16,us,usb000sayv,2014-09-10T13:22:58.803Z,"126km SE of Modayag, Indonesia",earthquake
2014-09-10T05:16:53.230Z,-0.2021,125.1096,30,5.7,mb,,33,2.455,1.18,us,usb000sayt,2014-09-10T14:43:29.000Z,"129km SE of Lolayan, Indonesia",earthquake
2014-09-10T02:46:06.450Z,-0.1863,125.173,30,6.2,mww,,24,2.391,1.04,us,usb000say6,2014-09-10T13:56:06.000Z,"132km SE of Modayag, Indonesia",earthquake
2014-09-10T01:54:54.000Z,60.137,-152.3521,97.1,3.1,ml,,,,0.67,ak,ak11384917,2014-09-10T09:57:31.448Z,"44km SSE of Redoubt Volcano, Alaska",earthquake
2014-09-10T01:09:37.600Z,40.1215,141.8691,75.44,5.1,mb,,95,2.127,1.01,us,usb000saxq,2014-09-10T09:12:16.684Z,"49km E of Ichinohe, Japan",earthquake
2014-09-10T00:11:42.910Z,36.9186,-97.7921,5,3.3,mb_lg,,59,0.268,0.76,us,usb000sax7,2014-09-10T01:05:40.054Z,"13km NNW of Medford, Oklahoma",earthquake
2014-09-09T21:57:33.070Z,19.4611,-108.7077,10,4.6,mb,,202,4.358,1.16,us,usb000savw,2014-09-10T06:00:01.033Z,"250km ENE of Socorro Island, Mexico",earthquake
2014-09-09T21:41:05.420Z,13.8114,-90.7544,70.15,4.4,mb,,176,1.473,1,us,usb000savr,2014-09-10T00:16:25.571Z,"14km SSE of Puerto San Jose, Guatemala",earthquake
2014-09-09T19:49:28.000Z,36.1783,-96.9684,5.993,3,ml,,65,,0.66,us,usb000saua,2014-09-09T22:09:10.962Z,"10km NE of Stillwater, Oklahoma",earthquake
2014-09-09T19:36:31.380Z,36.5077,76.0086,67.9,4.4,mb,,77,3.629,2.05,us,usb000satn,2014-09-10T03:39:13.979Z,"121km E of Barishal, Pakistan",earthquake
2014-09-09T19:06:54.290Z,-33.7151,-72.3068,15.79,4.2,mb,,159,0.889,0.81,us,usb000satc,2014-09-10T03:09:27.829Z,"64km WSW of San Antonio, Chile",earthquake
2014-09-09T18:45:11.460Z,-17.4651,-172.4772,38.42,4.9,mb,,68,2.904,0.93,us,usb000sat6,2014-09-10T02:47:38.464Z,"206km NE of Neiafu, Tonga",earthquake
2014-09-09T18:24:51.360Z,-27.8826,-66.8233,204.38,4.3,mb,,85,3.037,1.21,us,usb000sasu,2014-09-10T18:51:24.754Z,"33km SE of Belen, Argentina",earthquake
2014-09-09T18:17:57.980Z,36.6813333,-121.3111667,6.21,3.58,mw,79,30,0.03386,0.09,nc,nc72295271,2014-09-10T18:42:46.000Z,"15km SSE of Ridgemark, California",earthquake
2014-09-09T18:15:00.190Z,-51.3915,138.8714,15.19,5,mb,,84,14.594,1.17,us,usb000sast,2014-09-10T18:32:41.903Z,"Western Indian-Antarctic Ridge",earthquake
2014-09-09T16:54:10.210Z,36.8399,140.5646,12.34,4.4,mb,,123,0.678,1.08,us,usb000sarr,2014-09-10T00:56:52.900Z,"17km WNW of Kitaibaraki, Japan",earthquake
2014-09-09T16:08:30.990Z,33.78,-116.1178333,6.13,3.34,ml,98,36,0.08796,0.15,ci,ci37266216,2014-09-10T05:47:48.364Z,"11km NE of Indio, California",earthquake
2014-09-09T16:08:01.460Z,10.0245,-84.8294,51.19,4.6,mb,,135,0.291,0.9,us,usb000sarb,2014-09-09T20:25:47.271Z,"5km N of Puntarenas, Costa Rica",earthquake
2014-09-09T14:29:20.050Z,36.6152,70.9555,204.86,4.4,mb,,86,0.593,1.09,us,usb000saqm,2014-09-09T22:32:05.066Z,"29km SSE of Jarm, Afghanistan",earthquake
2014-09-09T13:48:34.020Z,12.8106,-89.2418,68.33,4.2,mb,,185,0.871,1.06,us,usb000saqd,2014-09-09T21:51:16.067Z,"75km S of La Libertad, El Salvador",earthquake
2014-09-09T13:37:58.960Z,2.8431,90.3579,14.42,4.4,mb,,175,6.986,0.77,us,usb000saqc,2014-09-09T21:40:40.471Z,"Off the west coast of northern Sumatra",earthquake
2014-09-09T12:37:13.900Z,19.287,-65.1796,62,3.4,Md,4,313.2,0.95490915,0.05,pr,pr14252007,2014-09-09T20:39:54.456Z,"107km NNW of Charlotte Amalie, U.S. Virgin Islands",earthquake
2014-09-09T11:47:22.550Z,10.0225,-84.7396,54.16,4.3,mb,,219,0.339,1.2,us,usb000sant,2014-09-09T19:30:22.897Z,"5km NE of Chacarita, Costa Rica",earthquake
2014-09-09T09:28:23.270Z,22.1598,93.1413,10,5.4,mb,,39,3.589,1.44,us,usb000samy,2014-09-10T04:07:20.882Z,"40km SSE of Saiha, India",earthquake
2014-09-09T09:06:46.690Z,36.2034,-97.4194,2.24,3.5,mb_lg,,33,0.407,0.41,us,usb000samj,2014-09-10T04:17:38.131Z,"15km SW of Perry, Oklahoma",earthquake
2014-09-09T07:12:39.060Z,-4.1763,-80.2666,87.82,4.8,mb,,127,4.744,0.79,us,usb000sam5,2014-09-09T15:15:46.306Z,"35km W of Celica, Ecuador",earthquake
